data,ticker,preco_fechamento_ajustado,volume_negociado,m_6,dy
2015-03-31,CEDO4,9.26,0.0,91116153.0,0.0
2015-04-30,CEDO4,8.99,0.0,89900000.0,0.0
2015-05-31,CEDO4,8.99,0.0,89900000.0,0.0
2015-06-30,CEDO4,8.99,0.0,89900000.0,0.0
2015-07-31,CEDO4,8.99,0.0,84249967.0,0.0
2015-08-31,CEDO4,8.0,0.0,80000000.0,0.0
2015-09-30,CEDO4,8.0,0.0,80000000.0,0.0
2015-10-31,CEDO4,8.0,0.0,80000000.0,0.0
2015-11-30,CEDO4,7.88,0.0,79484852.0,0.0
2015-12-31,CEDO4,7.88,0.0,79484852.0,0.0
2016-01-31,CEDO4,7.49,0.0,77810623.0,0.0
2016-02-29,CEDO4,7.49,0.0,77810623.0,0.0
2016-03-31,CEDO4,6.05,0.0,71628853.0,0.0
2016-04-30,CEDO4,5.52,0.0,69353618.0,0.0
2016-05-31,CEDO4,5.79,0.0,70512700.0,0.0
2016-06-30,CEDO4,4.6,0.0,65404154.0,0.0
2016-07-31,CEDO4,4.2,0.0,63686995.0,0.0
2016-08-31,CEDO4,4.49,0.0,59110689.0,0.0
2016-09-30,CEDO4,4.0,0.0,57007170.0,0.0
2016-10-31,CEDO4,3.99,0.0,51371279.0,0.0
2016-11-30,CEDO4,2.99,11081.0,47078383.0,0.0
2016-12-31,CEDO4,2.85,9120.0,46477378.0,0.0
2017-01-31,CEDO4,4.0,0.0,49702077.0,0.0
2017-02-28,CEDO4,3.33,3396.0,45113705.0,0.0
2017-03-31,CEDO4,3.59,0.0,43947017.0,0.0
2017-04-30,CEDO4,3.22,0.0,42358645.0,0.0
2017-05-31,CEDO4,3.28,0.0,48323323.0,0.0
2017-06-30,CEDO4,3.1,310.0,41272787.0,0.0
2017-07-31,CEDO4,4.28,33877.0,52616219.0,0.0
2017-08-31,CEDO4,4.84,0.0,55020241.0,0.0
2017-09-30,CEDO4,4.5,1800.0,47910623.0,0.0
2017-10-31,CEDO4,5.0,0.0,58560656.0,0.0
2017-11-30,CEDO4,5.2,1560.0,62272787.0,0.0
2017-12-31,CEDO4,6.82,1364.0,92055695.0,0.0
2018-01-31,CEDO4,9.35,4675.0,91502514.0,0.0
2018-02-28,CEDO4,8.6,0.0,91136394.0,0.0
2018-03-31,CEDO4,9.0,14645.0,93994973.0,0.0
2018-04-30,CEDO4,10.19,7739.0,99103519.0,0.0
2018-05-31,CEDO4,9.39,939.0,91674229.0,0.0
2018-06-30,CEDO4,8.8,5812.0,89141421.0,0.0
2018-07-31,CEDO4,8.43,0.0,87553049.0,0.0
2018-08-31,CEDO4,7.99,0.0,85664175.0,0.0
2018-09-30,CEDO4,7.88,3118.0,70752983.0,0.0
2018-10-31,CEDO4,6.5,6659.0,65000000.0,0.0
2018-11-30,CEDO4,6.7,0.0,67570710.0,0.0
2018-12-31,CEDO4,6.0,600.0,64565683.0,0.0
2019-01-31,CEDO4,6.3,630.0,61287869.0,0.0
2019-02-28,CEDO4,6.38,0.0,61631300.0,0.0
2019-03-31,CEDO4,6.22,3170.0,60944437.0,0.0
2019-04-30,CEDO4,6.0,0.0,60000000.0,0.0
2019-05-31,CEDO4,5.5,0.0,55000000.0,0.0
2019-06-30,CEDO4,5.38,0.0,57338404.0,0.0
2019-07-31,CEDO4,6.49,3807.0,59249967.0,0.0
2019-08-31,CEDO4,8.5,15419.0,88994973.0,0.0
2019-09-30,CEDO4,9.1,5345.0,93853552.0,0.0
2019-10-31,CEDO4,8.61,3354.0,88325771.0,0.0
2019-11-30,CEDO4,7.69,0.0,78669202.0,0.0
2019-12-31,CEDO4,8.68,18645.0,88626273.0,0.0
2020-01-31,CEDO4,8.1,16229.0,108108744.0,0.0
2020-02-29,CEDO4,7.59,2189.0,83947017.0,0.0
2020-03-31,CEDO4,5.1,17136.0,73257706.0,0.0
2020-04-30,CEDO4,4.42,55330.0,61150099.0,0.0
2020-05-31,CEDO4,5.29,7598.0,77954187.0,0.0
2020-06-30,CEDO4,7.14,7100.0,109409313.0,0.0
2020-07-31,CEDO4,6.3,39574.0,89823389.0,0.0
2020-08-31,CEDO4,5.62,7422.0,88102711.0,0.0
2020-09-30,CEDO4,5.37,3842.0,73846077.0,0.0
2020-10-31,CEDO4,6.5,43928.0,90681968.0,0.0
2020-11-30,CEDO4,6.15,47403.0,87067826.0,0.0
2020-12-31,CEDO4,5.63,118465.0,90028985.0,0.0
2021-01-31,CEDO4,5.35,98451.0,91395171.0,0.0
2021-02-28,CEDO4,5.27,24020.0,85401706.0,0.0
2021-03-31,CEDO4,5.45,8766.0,83206733.0,0.0
2021-04-30,CEDO4,6.0,848179.0,87051673.0,0.0
2021-05-31,CEDO4,6.29,60969.0,84073356.0,0.0
2021-06-30,CEDO4,7.7,164220.0,90982405.0,0.0
2021-07-31,CEDO4,7.5,20289.0,84702077.0,0.0
2021-08-31,CEDO4,6.2,101991.0,75411694.0,0.0
2021-09-30,CEDO4,5.74,26161.0,66588437.0,0.0
2021-10-31,CEDO4,6.12,4174.0,66507607.0,0.0
2021-11-30,CEDO4,5.81,2877.0,64891454.0,0.0
2021-12-31,CEDO4,5.0,6022.0,62498558.0,0.0
2022-01-31,CEDO4,5.49,78342.0,63517727.0,0.0
2022-02-28,CEDO4,5.31,11657.0,62745006.0,0.0
2022-03-31,CEDO4,5.12,42154.0,60616722.0,0.0
2022-04-30,CEDO4,4.89,0.0,60827847.0,0.0
2022-05-31,CEDO4,4.48,10809.0,58611192.0,0.0
2022-06-30,CEDO4,4.61,4119.0,58141989.0,0.0
2022-07-31,CEDO4,4.56,4086.0,56101071.0,0.0
2022-08-31,CEDO4,4.34,4338.0,53729858.0,0.0
2022-09-30,CEDO4,4.16,0.0,52101071.0,0.0
2022-10-31,CEDO4,4.21,0.0,49176809.0,0.0
2022-11-30,CEDO4,4.09,1227.0,52314208.0,0.0
2022-12-31,CEDO4,3.84,0.0,52724831.0,0.0
2023-01-31,CEDO4,3.57,18144.0,47799060.0,0.0
2023-02-28,CEDO4,3.4,4078.0,47697050.0,0.0
2023-03-31,CEDO4,3.6,32292.0,47984918.0,0.0
2023-04-30,CEDO4,3.73,23162.0,54706667.0,0.0
2023-05-31,CEDO4,7.75,89782.0,77785355.0,0.0
2023-06-30,CEDO4,9.31,66948.0,104685421.0,0.0
2023-07-31,CEDO4,12.0,330825.0,128560656.0,0.0
2023-08-31,CEDO4,17.3,163612.0,199823389.0,0.0
2023-09-30,CEDO4,16.0,27457.0,160000000.0,0.0
2023-10-31,CEDO4,15.09,7545.0,161743498.0,0.0
2023-11-30,CEDO4,25.0,97704.0,237273158.0,0.0
2023-12-31,CEDO4,27.26,13526.0,274768700.0,0.0
2024-01-31,CEDO4,26.48,31957.0,290539039.0,0.0
2024-02-29,CEDO4,25.6,81912.0,259994973.0,0.0
2024-03-31,CEDO4,28.0,197958.0,319949728.0,0.0
2024-04-30,CEDO4,27.48,21985.0,289181902.0,0.0
2024-05-31,CEDO4,27.49,0.0,289224831.0,0.0
2024-06-30,CEDO4,22.41,6723.0,248868831.0,0.0
2012-12-31,CEEB3,19.41,0.0,8085401000.0,0.03878479400240964
2013-01-31,CEEB3,18.46,0.0,7812141000.0,0.05247613624615385
2013-02-28,CEEB3,18.46,19700.0,7812141000.0,0.05247613624615385
2013-03-31,CEEB3,17.63,0.0,7147621000.0,0.05494145808322148
2013-04-30,CEEB3,18.89,792400.0,7406671480.0,0.022038742859666838
2013-05-31,CEEB3,18.83,0.0,7392461960.0,0.022111293798429982
2013-06-30,CEEB3,18.82,0.0,7389182840.0,0.0221281042093259
2013-07-31,CEEB3,15.26,0.0,6573775000.0,0.027286718503125
2013-08-31,CEEB3,16.69,0.0,6901687000.0,0.02494785691714286
2013-09-30,CEEB3,16.45,3450.0,6847035000.0,0.025309420060869565
2013-10-31,CEEB3,15.74,0.0,6036320400.0,0.026459848245454547
2013-11-30,CEEB3,15.93,3340.0,6175478330.0,0.026142963835329342
2013-12-31,CEEB3,14.78,0.0,5912055690.0,0.028176024269119075
2014-01-31,CEEB3,15.02,0.0,5913148730.0,0.028210589096774194
2014-02-28,CEEB3,14.06,8700.0,5694540730.0,0.03015614696551724
2014-03-31,CEEB3,12.09,0.0,5251859530.0,0.03505123294589178
2014-04-30,CEEB3,11.53,11579.0,5125066890.0,0.02456323366960908
2014-05-31,CEEB3,12.5,5200.0,4802121690.0,0.022649586395348836
2014-06-30,CEEB3,12.5,0.0,4801028650.0,0.022658368708801863
2014-07-31,CEEB3,12.38,0.0,4773702650.0,0.02288016166797181
2014-08-31,CEEB3,12.21,0.0,4732595640.0,0.023188862261904763
2014-09-30,CEEB3,12.24,693125.0,4738060840.0,0.023142943722772275
2014-10-31,CEEB3,12.46,0.0,4786458910.0,0.022737717081712062
2014-11-30,CEEB3,12.6,0.0,4826348680.0,0.022475358807692306
2014-12-31,CEEB3,12.33,0.0,4753611800.0,0.02296107383104126
2015-01-31,CEEB3,12.33,0.0,4668075130.0,0.024991233443017655
2015-02-28,CEEB3,12.33,0.0,4668075130.0,0.024991233443017655
2015-03-31,CEEB3,12.12,0.0,4647586920.0,0.025440422279411762
2015-04-30,CEEB3,12.62,0.0,4759865730.0,0.024422805388235293
2015-05-31,CEEB3,12.92,5220.0,4982405400.0,0.023861361586206893
2015-06-30,CEEB3,13.31,2650.0,5026127000.0,0.039092646811320755
2015-07-31,CEEB3,13.06,0.0,4971475000.0,0.03984442848076923
2015-08-31,CEEB3,13.11,0.0,4982405400.0,0.03969176783524904
2015-09-30,CEEB3,13.06,0.0,4971475000.0,0.03984442848076923
2015-10-31,CEEB3,13.16,0.0,4994428840.0,0.039525186589088136
2015-11-30,CEEB3,13.16,0.0,4954992340.0,0.039525186589088136
2015-12-31,CEEB3,13.03,0.0,4926573300.0,0.03992120001926783
2016-01-31,CEEB3,12.78,0.0,4911357800.0,0.016234719178781925
2016-02-29,CEEB3,12.68,0.0,4889497000.0,0.016363311013861386
2016-03-31,CEEB3,12.71,0.0,4918624100.0,0.016330972454545456
2016-04-30,CEEB3,12.67,0.0,4884031800.0,0.01775225717857143
2016-05-31,CEEB3,12.67,0.0,4884031800.0,0.01775225717857143
2016-06-30,CEEB3,12.67,0.0,4923468300.0,0.01775225717857143
2016-07-31,CEEB3,12.32,0.0,4712871400.0,0.0013952358285714286
2016-08-31,CEEB3,12.02,0.0,4450665600.0,0.02713431552136752
2016-09-30,CEEB3,12.02,0.0,4450665600.0,0.02713431552136752
2016-10-31,CEEB3,12.02,0.0,4450665600.0,0.02713431552136752
2016-11-30,CEEB3,12.02,0.0,4529538600.0,0.02713431552136752
2016-12-31,CEEB3,12.24,0.0,4518608200.0,0.05303445015450643
2017-01-31,CEEB3,12.51,6591.0,4574353240.0,0.05189847495170097
2017-02-28,CEEB3,11.95,0.0,4458491000.0,0.0543166016967033
2017-03-31,CEEB3,12.08,0.0,4485817000.0,0.053726203852173915
2017-04-30,CEEB3,12.08,9200.0,4485817000.0,0.052239974382608696
2017-05-31,CEEB3,12.58,0.0,4589655800.0,0.05016782508559499
2017-06-30,CEEB3,12.09,0.0,4486910040.0,0.052217271221208165
2017-07-31,CEEB3,11.28,14700.0,4267209000.0,0.08549833324761905
2017-08-31,CEEB3,11.55,0.0,4227213400.0,0.05556768803720931
2017-09-30,CEEB3,12.27,0.0,4232802400.0,0.0522846955273523
2017-10-31,CEEB3,13.37,0.0,4456875600.0,0.04798013224096386
2017-11-30,CEEB3,13.29,0.0,4440480000.0,0.04827092092121213
2017-12-31,CEEB3,12.84,45320.0,4347571600.0,0.024851279807531382
2018-01-31,CEEB3,12.89,0.0,4725216000.0,0.024747732808333336
2018-02-28,CEEB3,13.16,0.0,4827221000.0,0.024242677036734696
2018-03-31,CEEB3,13.16,0.0,4828076120.0,0.024242677036734696
2018-04-30,CEEB3,13.43,2500.0,5843591100.0,0.023757823496000002
2018-05-31,CEEB3,13.43,0.0,5843591100.0,0.023757823496000002
2018-06-30,CEEB3,13.37,0.0,5638567800.0,0.02385323644176707
2018-07-31,CEEB3,13.6,0.0,5638567800.0,0.019009953088353414
2018-08-31,CEEB3,13.87,2540.0,5706448800.0,0.01863574141338583
2018-09-30,CEEB3,13.87,2540.0,5709394140.0,0.01863574141338583
2018-10-31,CEEB3,14.47,2650.0,6288959840.0,0.017862182335849058
2018-11-30,CEEB3,14.58,2670.0,6319359240.0,0.017728383217228465
2018-12-31,CEEB3,14.53,2660.0,6304159540.0,0.01779503127443609
2019-01-31,CEEB3,15.14,0.0,6380158040.0,0.04366971257195572
2019-02-28,CEEB3,17.83,30035.0,6831589130.0,0.10085372634852012
2019-03-31,CEEB3,17.5,29500.0,7953099480.0,0.10280242546779661
2019-04-30,CEEB3,18.99,9200.0,8015947980.0,0.12962048813548388
2019-05-31,CEEB3,19.3,138600.0,8641335500.0,0.12756302006984127
2019-06-30,CEEB3,20.24,9805.0,8876930850.0,0.12158048811497732
2019-07-31,CEEB3,21.47,6880.0,9207424500.0,0.12022416763188405
2019-08-31,CEEB3,23.02,0.0,9587417000.0,0.11210091306216215
2019-09-30,CEEB3,23.96,0.0,9794912870.0,0.10770536960010386
2019-10-31,CEEB3,24.27,0.0,9900218840.0,0.10635214828974358
2019-11-30,CEEB3,23.95,0.0,9824220340.0,0.1077333450207792
2019-12-31,CEEB3,24.86,3995.0,10356193330.0,0.10382312348685856
2020-01-31,CEEB3,27.66,4400.0,10971781180.0,0.08947088686363636
2020-02-29,CEEB3,27.54,0.0,10941381780.0,0.047659741584474884
2020-03-31,CEEB3,24.49,0.0,10204196330.0,0.053594266531450566
2020-04-30,CEEB3,24.52,0.0,10165555020.0,0.028254694884615388
2020-05-31,CEEB3,25.02,7955.0,10287152620.0,0.027686761319095483
2020-06-30,CEEB3,26.41,4200.0,10897892000.0,0.026236502392857148
2020-07-31,CEEB3,27.03,16898.0,11049889000.0,0.011606665523255814
2020-08-31,CEEB3,26.72,0.0,10867095440.0,0.011743214529411765
2020-09-30,CEEB3,25.98,0.0,10575858010.0,0.0120756500725865
2020-10-31,CEEB3,25.4,16219.0,10489549800.0,0.012353629146039604
2020-11-30,CEEB3,25.59,0.0,10810393900.0,0.012262570454545454
2020-12-31,CEEB3,27.95,946379.0,11710676650.0,0.01122804538807649
2021-01-31,CEEB3,26.29,73541.0,11184808020.0,0.023708663532568917
2021-02-28,CEEB3,26.29,24862.0,11186328000.0,0.023702880931707318
2021-03-31,CEEB3,25.65,31973.0,11032810020.0,0.02430152833708427
2021-04-30,CEEB3,25.07,62369.0,10882332000.0,0.02710906765128205
2021-05-31,CEEB3,26.16,0.0,10755385600.0,0.02597674787223587
2021-06-30,CEEB3,26.09,48690.0,10464940800.0,0.026040730009852214
2021-07-31,CEEB3,28.82,0.0,12424458460.0,0.109047237547929
2021-08-31,CEEB3,28.52,20627.0,10757436400.0,0.11022119106220096
2021-09-30,CEEB3,23.84,6987.0,9604632120.0,0.13186164242701776
2021-10-31,CEEB3,24.22,0.0,9689751000.0,0.12978157144788732
2021-11-30,CEEB3,23.54,10130.0,9537753000.0,0.13354335612753623
2021-12-31,CEEB3,24.14,13560.0,9385755000.0,0.19545178472537314
2022-01-31,CEEB3,24.59,0.0,9416154600.0,0.18086176020474776
2022-02-28,CEEB3,25.17,10350.0,9537753000.0,0.17666786431594203
2022-03-31,CEEB3,26.99,77675.0,9916228020.0,0.16477538034333603
2022-04-30,CEEB3,28.29,14404.0,9299607620.0,0.2371420284392265
2022-05-31,CEEB3,28.13,7157.0,9269208020.0,0.23845948415277776
2022-06-30,CEEB3,29.27,18631.0,9489605120.0,0.22922674044058744
2022-07-31,CEEB3,30.94,187070.0,10148125520.0,0.13825201020132516
2022-08-31,CEEB3,34.03,4035.0,10032790460.0,0.19842684678314745
2022-09-30,CEEB3,33.63,12047.0,10464080260.0,0.2008157328241786
2022-10-31,CEEB3,33.49,7833.0,11125893880.0,0.21284391532994923
2022-11-30,CEEB3,31.88,0.0,9558859900.0,0.22362800704
2022-12-31,CEEB3,33.71,75335.0,9476091040.0,0.16256396625725097
2023-01-31,CEEB3,32.58,0.0,9225294340.0,0.16637893415000002
2023-02-28,CEEB3,32.01,0.0,9123455680.0,0.16936510843021702
2023-03-31,CEEB3,33.32,3850.0,9853985300.0,0.17524078274545454
2023-04-30,CEEB3,34.8,23622.0,9837591260.0,0.12650980883413768
2023-05-31,CEEB3,34.47,3900.0,9807775520.0,0.1277100300974359
2023-06-30,CEEB3,36.24,12300.0,10111771520.0,0.12148027253170733
2023-07-31,CEEB3,42.36,230975.0,12724805000.0,0.14994396715578948
2023-08-31,CEEB3,39.65,0.0,12471265800.0,0.10684291888235294
2023-09-30,CEEB3,36.95,0.0,12030471600.0,0.11466727405303029
2023-10-31,CEEB3,34.53,21912.0,10207528500.0,0.12437074566366857
2023-11-30,CEEB3,39.01,0.0,10820940980.0,0.11008836329071169
2023-12-31,CEEB3,38.31,104070.0,10481241580.0,0.11211701863390662
2024-01-31,CEEB3,37.21,7912.0,10016952880.0,0.11611898040295841
2024-02-29,CEEB3,37.75,15762.0,10103591740.0,0.1144551337757667
2024-03-31,CEEB3,37.36,39436.0,10005894020.0,0.11258071689240988
2024-04-30,CEEB3,39.42,27398.0,10087972940.0,0.12999451972523315
2024-05-31,CEEB3,39.45,23906.0,10117855420.0,0.12989628709068007
2024-06-30,CEEB3,39.5,7900.0,10297743000.0,0.1377743837746835
2012-12-31,CEEB5,20.48,0.0,8085401000.0,0.03901288443111111
2013-01-31,CEEB5,20.48,0.0,7812141000.0,0.03901288443111111
2013-02-28,CEEB5,20.48,0.0,7812141000.0,0.03901288443111111
2013-03-31,CEEB5,17.94,0.0,7147621000.0,0.05247613624615385
2013-04-30,CEEB5,17.94,0.0,7406671480.0,0.05247613624615385
2013-05-31,CEEB5,17.94,0.0,7392461960.0,0.05247613624615385
2013-06-30,CEEB5,17.94,0.0,7389182840.0,0.05247613624615385
2013-07-31,CEEB5,17.94,0.0,6573775000.0,0.05247613624615385
2013-08-31,CEEB5,17.94,0.0,6901687000.0,0.05247613624615385
2013-09-30,CEEB5,17.94,0.0,6847035000.0,0.05247613624615385
2013-10-31,CEEB5,14.28,0.0,6036320400.0,0.028349837405844156
2013-11-30,CEEB5,14.84,0.0,6175478330.0,0.027278194067478917
2013-12-31,CEEB5,14.84,0.0,5912055690.0,0.027278194067478917
2014-01-31,CEEB5,14.84,0.0,5913148730.0,0.027278194067478917
2014-02-28,CEEB5,14.84,0.0,5694540730.0,0.027278194067478917
2014-03-31,CEEB5,14.84,0.0,5251859530.0,0.027278194067478917
2014-04-30,CEEB5,14.84,0.0,5125066890.0,0.027278194067478917
2014-05-31,CEEB5,11.83,0.0,4802121690.0,0.02325345519299642
2014-06-30,CEEB5,11.83,0.0,4801028650.0,0.02325345519299642
2014-07-31,CEEB5,11.83,0.0,4773702650.0,0.02325345519299642
2014-08-31,CEEB5,11.81,0.0,4732595640.0,0.023299813755980864
2014-09-30,CEEB5,11.81,0.0,4738060840.0,0.023299813755980864
2014-10-31,CEEB5,11.8,0.0,4786458910.0,0.023309107658556042
